Seq_ID	subsample	rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
Yale-TB036	0.1	NC_000962.3	1	4411532	96	1971	0.0446784	0.00236902	39.7	60
Yale-TB036	0.2	NC_000962.3	1	4411532	188	3119	0.0707011	0.0044735	39.7	60
Yale-TB036	0.15	NC_000962.3	1	4411532	144	2722	0.0617019	0.00343237	39.8	60
Yale-TB036	0.5	NC_000962.3	1	4411532	435	4460	0.101099	0.0102012	39.7	60
Yale-TB036	1	NC_000962.3	1	4411532	849	7126	0.161531	0.0198634	39.7	60
Yale-TB023	0.05	NC_000962.3	1	4411532	1084	47491	1.07652	0.0292873	39.7	60
Yale-TB023	0.25	NC_000962.3	1	4411532	5583	134912	3.05817	0.149565	39.7	60
Yale-TB023	0.1	NC_000962.3	1	4411532	2266	77836	1.76438	0.0609317	39.7	60
Yale-TB023	0.2	NC_000962.3	1	4411532	4506	120738	2.73687	0.120783	39.7	60
Yale-TB023	0.15	NC_000962.3	1	4411532	3388	102543	2.32443	0.0907324	39.7	60
Yale-TB023	0.5	NC_000962.3	1	4411532	11335	191416	4.33899	0.303217	39.7	60
Yale-TB023	1	NC_000962.3	1	4411532	22597	258107	5.85073	0.603921	39.7	60
Yale-TB086	0.05	NC_000962.3	1	4411532	1	151	0.00342285	3.42E-05	39.9	60
Yale-TB086	0.25	NC_000962.3	1	4411532	6	517	0.0117193	0.000175223	39.5	60
Yale-TB086	0.1	NC_000962.3	1	4411532	1	151	0.00342285	3.42E-05	39.9	60
Yale-TB086	0.2	NC_000962.3	1	4411532	4	240	0.00544029	0.000108806	39.9	60
Yale-TB086	0.15	NC_000962.3	1	4411532	2	151	0.00342285	6.85E-05	39.8	60
Yale-TB086	0.5	NC_000962.3	1	4411532	16	1047	0.0237333	0.000415275	39.5	60
Yale-TB086	1	NC_000962.3	1	4411532	26	1186	0.0268841	0.000659635	39.5	60
Yale-TB072	0.05	NC_000962.3	1	4411532	0	0	0	0	0	0
Yale-TB072	0.25	NC_000962.3	1	4411532	5	208	0.00471492	0.000115153	39.8	60
Yale-TB072	0.1	NC_000962.3	1	4411532	0	0	0	0	0	0
Yale-TB072	0.2	NC_000962.3	1	4411532	3	187	0.00423889	6.37E-05	39.7	60
Yale-TB072	0.15	NC_000962.3	1	4411532	2	94	0.00213078	4.26E-05	39.7	60
Yale-TB072	0.5	NC_000962.3	1	4411532	16	723	0.0163889	0.000383767	39.7	60
Yale-TB072	1	NC_000962.3	1	4411532	23	1338	0.0303296	0.000589364	39.7	60
Yale-TB074	0.05	NC_000962.3	1	4411532	3	354	0.00802442	8.02E-05	38.8	60
Yale-TB074	0.25	NC_000962.3	1	4411532	6	517	0.0117193	0.00013578	39	60
Yale-TB074	0.1	NC_000962.3	1	4411532	4	432	0.00979252	9.79E-05	39	60
Yale-TB074	0.2	NC_000962.3	1	4411532	4	432	0.00979252	9.79E-05	39	60
Yale-TB074	0.15	NC_000962.3	1	4411532	4	432	0.00979252	9.79E-05	39	60
Yale-TB074	0.5	NC_000962.3	1	4411532	10	842	0.0190863	0.000240733	39.4	60
Yale-TB074	1	NC_000962.3	1	4411532	38	2804	0.0635607	0.000995119	39.4	60
Yale-TB077	0.05	NC_000962.3	1	4411532	1301205	4074030	92.3496	36.5116	39.6	60
Yale-TB077	0.25	NC_000962.3	1	4411532	6495512	4292845	97.3096	182.32	39.6	60
Yale-TB077	0.1	NC_000962.3	1	4411532	2598915	4225981	95.794	72.9511	39.6	60
Yale-TB077	0.2	NC_000962.3	1	4411532	5194508	4284722	97.1255	145.803	39.6	60
Yale-TB077	0.15	NC_000962.3	1	4411532	3897942	4268597	96.76	109.417	39.6	60
Yale-TB077	0.5	NC_000962.3	1	4411532	12992166	4307459	97.6409	364.667	39.6	60
Yale-TB077	1	NC_000962.3	1	4411532	25986248	4313432	97.7763	729.346	39.6	60
