"Seq_ID	subsample	rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq"
"CS00040	0.5	NC_017592.1	1	2036867	22628330	1906295	93.5896	1388.49	35.6	43.1"
"CS00040	1.0	NC_017592.1	1	2036867	45250897	1924814	94.4988	2776.61	35.6	43.1"
"CS00047	0.025	NC_017592.1	1	2036867	805670	1122756	55.1217	42.9986	35.7	39.4"
"CS00047	0.05	NC_017592.1	1	2036867	1613413	1373872	67.4503	86.0973	35.7	39.4"
"CS00047	0.075	NC_017592.1	1	2036867	2421461	1502996	73.7896	129.207	35.7	39.4"
"CS00047	0.125	NC_017592.1	1	2036867	4038050	1647134	80.8661	215.467	35.7	39.4"
"CS00047	0.1	NC_017592.1	1	2036867	3229560	1584644	77.7981	172.295	35.7	39.4"
"CS00047	0.25	NC_017592.1	1	2036867	8079854	1795130	88.1319	431.168	35.7	39.4"
"CS00047	0.5	NC_017592.1	1	2036867	16160543	1894412	93.0062	862.427	35.7	39.4"
"CS00047	1.0	NC_017592.1	1	2036867	32320123	1953743	95.919	1724.83	35.7	39.4"
"CS00048	0.025	NC_017592.1	1	2036867	845535	880821	43.2439	39.5782	35.8	31.2"
"CS00048	0.05	NC_017592.1	1	2036867	1694301	1121586	55.0643	79.3256	35.7	31.2"
"CS00048	0.075	NC_017592.1	1	2036867	2540679	1279766	62.8301	118.945	35.7	31.2"
"CS00048	0.125	NC_017592.1	1	2036867	4236684	1456742	71.5188	198.356	35.7	31.2"
"CS00048	0.1	NC_017592.1	1	2036867	3389658	1379348	67.7191	158.696	35.7	31.2"
"CS00048	0.25	NC_017592.1	1	2036867	8471873	1664472	81.7173	396.729	35.7	31.2"
"CS00048	0.5	NC_017592.1	1	2036867	16944361	1808852	88.8056	793.43	35.7	31.2"
"CS00048	1.0	NC_017592.1	1	2036867	33889695	1899782	93.2698	1586.82	35.7	31.2"
"CS00049	0.025	NC_017592.1	1	2036867	652483	234438	11.5097	14.3815	35.6	7.79"
"CS00049	0.05	NC_017592.1	1	2036867	1303011	338470	16.6172	28.7215	35.6	7.8"
"CS00049	0.075	NC_017592.1	1	2036867	1956515	407253	19.9941	43.1339	35.6	7.78"
"CS00049	0.125	NC_017592.1	1	2036867	3263525	525595	25.8041	71.9385	35.6	7.8"
"CS00049	0.1	NC_017592.1	1	2036867	2609422	469954	23.0724	57.524	35.6	7.79"
"CS00049	0.25	NC_017592.1	1	2036867	6533258	718414	35.2705	144.093	35.6	7.8"
"CS00049	0.5	NC_017592.1	1	2036867	13071940	960411	47.1514	288.464	35.6	7.82"
"CS00049	1.0	NC_017592.1	1	2036867	26142292	1176942	57.782	552.917	35.6	7.82"
